query,response
"[4, 7, 7, 7]",Answer: (7 - (7 / 7)) * 4 = 24
"[3, 3, 3, 9]",Answer: (9 - 3) * (3 + 3) = 24
"[2, 8, 12, 13]",Answer: (13 - 12) * (8 + 2) = 24
"[2, 8, 11, 12]","Using the numbers 2, 8, 11, and 12, you can obtain 24 as follows:

Answer: (12 - 8) * (11 - 2) = 24"
"[3, 6, 7, 10]",Answer: (10 - 6) * (7 - 3) = 24
"[2, 7, 10, 10]",Answer: (10 - 7) * 10 + 2 = 24
"[4, 5, 11, 11]",Answer: (11 - 5) * (11 - 4) = 24
"[6, 11, 11, 12]",Answer: (12 - 6) * (11 - 11) + 11 = 24
"[1, 6, 6, 6]",Answer: (6 / 6 + 1) * 6 * 6 = 24
"[2, 2, 9, 10]",(10 - 9) * (2 + 2) * 2 = 24
